recipe_id,ingredient,quantity,unit,step,cuisine,nutrition,tags
1,zero point five zero point five teaspoons zero point five two tablespoons three point five,0,one,"['boil', 'mix', 'stir']",Other,unknown,['None']
2,four one one centavo year roentgen short tons,0,one,"['bake', 'mix']",Other,unknown,['None']
3,sixteen ounces one eight ounces zero point three three three three three three three three three three three three three three three three zero point five teaspoons zero point five teaspoons zero point two five teaspoons,0,two,"['stir', 'cook']",Other,unknown,['None']
4,two ten point five ounces one ten point five ounces one six ounces four ounces,0,one,"['bake', 'boil']",Other,unknown,['None']
5,zero point seven five one one pound three point five one,0,one,[],Other,unknown,['None']
6,one pound zero point six six six six six six six six six six six six six six six six six zero point seven five teaspoons zero point five teaspoons one point five six ounces twelve four one eight ounces,0,six,"['boil', 'stir', 'cook']",Other,unknown,['None']
7,point five zero point five one one two zero point five teaspoons one teaspoon one two one teaspoon,0,one,['mix'],Other,unknown,['None']
8,one zero point five peck grams twenty one six teaspoons,0,one,"['bake', 'mix']",Other,unknown,['None']
9,point five pounds one inch one one point seven five zero point five one point five tablespoons two zero point two five,0,one,"['stir', 'serve']",Other,unknown,['None']
10,one one three one two,0,one,"['chop', 'mix', 'stir']",Other,unknown,['None']
11,seventeen ounces zero point five one six ounces two zero point one two five teaspoons one,0,one,[],Other,unknown,['None']
12,eight ounces one eight ounces twelve ounces,0,one,['mix'],Other,unknown,['None']
14,ounces eight ounces eight ounces one pound one peck grams one one one,0,eight,"['mix', 'serve']",Other,unknown,['None']
15,one one one eight ounces two tablespoons,0,one,['mix'],Other,unknown,['None']
16,one quart one point five four tablespoons one zero point one two five teaspoons four tablespoons,0,one,"['boil', 'mix', 'stir', 'serve']",Other,unknown,['None']
17,point five peck grams one zero point five peck grams one zero point two five,0,zero,"['bake', 'mix']",Other,unknown,['None']
18,one point five pounds ten five zero point two five zero point five one two tablespoons zero point two five,0,one,[],Other,unknown,['None']
19,pound one three one one one point five one pint,0,one,"['mix', 'serve']",Other,unknown,['None']
20,point seven five zero point five one point five three one teaspoon two one one,0,zero,"['bake', 'mix']",Other,unknown,['None']
21,zero point five two one teaspoon two teaspoons two zero point two five two,0,one,"['bake', 'mix']",Other,unknown,['None']
22,peck grams one peck grams eight ounces zero point seven five zero point five four six ounces,0,one,"['bake', 'mix']",Other,unknown,['None']
23,seven one one,0,two,[],Other,unknown,['None']
